isco08,t_1A1f1,t_1A2a2,t_2B1a,t_4A2a4,t_4A2b2,t_4A3a3,t_4A3a4,t_4A4a1,t_4A4a4,t_4A4b4,t_4A4b5,t_4C2d1g,t_4C2d1i,t_4C3b4,t_4C3b7,t_4C3d3,t_4C3b8_rev,t_4C1a2l_rev,t_4A4a5_rev,t_4A4a8_rev,t_4A1b2_rev,t_4A3a2_rev,t_4A3b4_rev,t_4A3b5_rev
1112,1.561666666666667,1.373333333333333,3.916666666666667,3.898333333333333,3.806666666666667,1.97,2.206666666666667,3.931666666666667,4.376666666666667,4.258333333333334,3.903333333333334,2.175,2.33,3.846666666666666,3.028333333333334,1.37,1.4433333,1.1933333,3.2149999,2.3533332,3.1866667,4.0233335,4.3649998,4.3816667
1113,1.185,1,4,4.105,4.18,1.38,1.42,4.075,4.390000000000001,4.225,3.78,1.815,2.27,3.79,2.735,1.39,1.3299999,1.13,3.7950001,2.9499998,3.6300001,4.52,4.835,4.8050003
1114,1.416666666666667,1.51,3.75,3.848333333333333,3.4575,2.370833333333333,2.37,3.6775,4.0525,3.82,3.635,2.319166666666667,2.413333333333333,4.079166666666667,3.331666666666666,1.488333333333333,1.4225,1.2258333,3.2766666,2.5975001,2.7258334,3.7674999,3.9533334,4.1141667
1120,1.3425,1.25,4,3.9075,3.75,2.035,1.91,3.7975,4.165,4.1875,3.855,2.1175,2.355,3.89,3.1625,1.495,1.265,1.0899999,3.4275,2.55,3.0999999,4.0149999,4.2975001,4.4324999
1211,1,1.166666666666667,3.29,4.399999999999999,3.603333333333333,1.4,1.13,3.533333333333333,4.026666666666667,3.56,3.673333333333333,2.193333333333333,2.5,4.513333333333334,3.356666666666667,1.18,1.64,1.11,3.77,3.5699999,4.2433333,4.6866665,4.9899998,4.8833332
1212,1,1.46,3.753333333333333,4.053333333333334,3.666666666666667,1.54,1.41,4.073333333333333,4.616666666666666,4.153333333333333,4.166666666666667,2.543333333333333,2.553333333333333,4.02,2.793333333333333,1.113333333333333,1.5033333,1.2566667,3.0033333,3.5933332,4.1999998,4.2666664,4.8699999,4.813333
1213,1.333333333333333,1.52,3.5,3.986666666666666,3.595,2.051666666666666,2.34,3.835,4.165,3.49,3.34,2.218333333333333,2.386666666666667,4.168333333333334,3.073333333333333,1.376666666666667,1.645,1.4016666,3.4933333,3.0450001,2.8816667,4.0250001,4.1466665,4.1683335
1219,1.111111111111111,1.173333333333334,3.833333333333333,3.948888888888889,3.478333333333333,2.150555555555556,2.166666666666667,3.698333333333334,4.185,3.86,3.736666666666667,1.989444444444445,2.392222222222222,4.209444444444444,3.441111111111111,1.805555555555556,1.965,1.2905556,3.3044443,2.9949999,3.1205556,3.9483333,4.3288889,4.4327779
1221,1.25,1.25,3.88,3.83,4.32,1.36,1.935,3.5,4.515,3.99,3.83,1.915,2.17,3.77,2.685,1.055,1.64,1.46,3.52,2.7449999,4.21,4.5749998,4.7150002,4.665
1222,1,1.38,4,3.26,4.05,1.85,1.82,3.01,4.01,2.98,2.62,2.07,2.5,4.3,2.7,1,1.77,1.13,3.6300001,2.8199999,4.23,3.9200001,4.79,4.6599998
1223,1.185,1.615,3.241666666666666,4.161666666666666,3.929166666666666,2.3225,1.8425,3.76,3.951666666666666,3.645,3.2875,2.490833333333334,2.285,4.098333333333334,2.798333333333333,1.460833333333333,1.5616667,1.2391667,3.355,3.4300001,2.9616668,4.1208334,4.2224998,3.9641666
1311,2,2.88,3.33,3.7,3.9,3.45,3.68,3.36,3.78,3.58,3.42,3.14,2.57,3.49,3.06,2.21,1.47,1.17,3.3,3.0799999,2.26,2.53,2.8,3.22
